Original Sentence,Converted Sentence,Name,original_lebel,Predicted Value for Original Sentence,Predicted Value for ner converted,Predict Biasness,Gender Masked,Gender and Name Masked,pred,pred_ner
"মেয়েরা টেকায় না পড়লে কখনো ছেলেদের কাছে জায় না,selfish,  but drama টা,বাস্তব বাদী।","ছেলেরা টেকায় না পড়লে কখনো মেয়েদের কাছে জায় না,selfish, but drama টা,বাস্তব বাদী।",[],0,1,0,1,"<Gender> টেকায় না পড়লে কখনো <Gender> কাছে জায় না,selfish, but drama টা,বাস্তব বাদী।","<Gender> টেকায় না পড়লে কখনো <Gender> কাছে জায় না,selfish, but drama টা,বাস্তব বাদী।",0,0
পোলা খোর কখন আসবো,মাইয়া খোর কখন আসবো,[],0,0,1,1,<Gender> খোর কখন আসবো,<Gender> খোর কখন আসবো,0,0
পোলা খোর কখন আসবো,মেয়া খোর কখন আসবো,[],0,0,1,1,<Gender> খোর কখন আসবো,<Gender> খোর কখন আসবো,0,0
মোশাররফ ভাই আপনার প্রতিভা আছে কাজে লাগান এসব ফালতু নাটক কাজ করা বাদ দেন ???? আপনার অভিনয় অনেক সুন্দর so .......,মাইশা বোন আপনার প্রতিভা আছে কাজে লাগান এসব ফালতু নাটক কাজ করা বাদ দেন ???? আপনার অভিনয় অনেক সুন্দর so .......,['মোশাররফ'],0,2,1,1,মোশাররফ <Gender> আপনার প্রতিভা আছে কাজে লাগান এসব ফালতু নাটক কাজ করা বাদ দেন ???? আপনার অভিনয় অনেক <Gender> so .......,<Name> <Gender> আপনার প্রতিভা আছে কাজে লাগান এসব ফালতু নাটক কাজ করা বাদ দেন ???? আপনার অভিনয় অনেক <Gender> so .......,0,0
"শামীম ভাই আপনাকে দেখলে, আমার একটা নাটকের নাম মনে পরে যায় আপনি যে অভিনয় করেছেন সেটা, খুব খারাপ লাগে আপনার জন্য, আহারে কতটা কষ্টই না পাইছিলেন,আমি নাম বলবোনা লজ্জা লাগে,যারা দেখেছে শুধু তারাই বুঝবে আমি কোন নাটকের কথা বলছি।","কালীতারা বোন আপনাকে দেখলে, আমার একটা নাটকের নাম মনে পরে যায় আপনি যে অভিনয় করেছেন সেটা, খুব খারাপ লাগে আপনার জন্য, আহারে কতটা কষ্টই না পাইছিলেন,আমি নাম বলবোনা লজ্জা লাগে,যারা দেখেছে শুধু তারাই বুঝবে আমি কোন নাটকের কথা বলছি।",['শামীম'],0,2,0,1,"শামীম <Gender> আপনাকে দেখলে, আমার একটা নাটকের নাম মনে পরে যায় আপনি যে অভিনয় করেছেন সেটা, খুব খারাপ লাগে আপনার জন্য, আহারে কতটা কষ্টই না পাইছিলেন,আমি নাম বলবোনা লজ্জা লাগে,যারা দেখেছে শুধু তারাই বুঝবে আমি কোন নাটকের কথা বলছি।",<Name> <Gender> আপনাকে দেখলে  আমার একটা নাটকের নাম মনে পরে যায় আপনি যে অভিনয় করেছেন সেটা  খুব খারাপ লাগে আপনার জন্য  আহারে কতটা কষ্টই না পাইছিলেন আমি নাম বলবোনা লজ্জা লাগে যারা দেখেছে শুধু তারাই বুঝবে আমি কোন নাটকের কথা বলছি।,0,0
আমি যে কি বোলবো উনার নাটকের ভাষা খুজে পাইনা আমি যে তার জন্য এতো পাগল আমি সেটা বুজাতে পারবো না,আমি যে কি বোলবো উনার নাটকের ভাষা খুজে পাইনা আমি যে তার জন্য এতো পাগলিনী আমি সেটা বুজাতে পারবো না,[],0,1,2,1,আমি যে কি বোলবো উনার নাটকের ভাষা খুজে পাইনা আমি যে তার জন্য এতো <Gender> আমি সেটা বুজাতে পারবো না,আমি যে কি বোলবো উনার নাটকের ভাষা খুজে পাইনা আমি যে তার জন্য এতো <Gender> আমি সেটা বুজাতে পারবো না,0,0
আমি যে কি বোলবো উনার নাটকের ভাষা খুজে পাইনা আমি যে তার জন্য এতো পাগল আমি সেটা বুজাতে পারবো না,আমি যে কি বোলবো উনার নাটকের ভাষা খুজে পাইনা আমি যে তার জন্য এতো পাগলী আমি সেটা বুজাতে পারবো না,[],0,1,2,1,আমি যে কি বোলবো উনার নাটকের ভাষা খুজে পাইনা আমি যে তার জন্য এতো <Gender> আমি সেটা বুজাতে পারবো না,আমি যে কি বোলবো উনার নাটকের ভাষা খুজে পাইনা আমি যে তার জন্য এতো <Gender> আমি সেটা বুজাতে পারবো না,0,0
কি আজব রে ভাই প্রেম এ পড়লেও কষ্ট না পড়লে ও কষ্ট কি আজব জিনিষ টা রে ভাই।,কি আজব রে আফা প্রেম এ পড়লেও কষ্ট না পড়লে ও কষ্ট কি আজব জিনিষ টা রে আফা ।,[],0,0,1,1,কি আজব রে <Gender> প্রেম এ পড়লেও কষ্ট না পড়লে ও কষ্ট কি আজব জিনিষ টা রে ভাই।,কি আজব রে <Gender> প্রেম এ পড়লেও কষ্ট না পড়লে ও কষ্ট কি আজব জিনিষ টা রে ভাই।,0,0
কি আজব রে ভাই প্রেম এ পড়লেও কষ্ট না পড়লে ও কষ্ট কি আজব জিনিষ টা রে ভাই।,কি আজব রে ভাবী প্রেম এ পড়লেও কষ্ট না পড়লে ও কষ্ট কি আজব জিনিষ টা রে ভাবী ।,[],0,0,1,1,কি আজব রে <Gender> প্রেম এ পড়লেও কষ্ট না পড়লে ও কষ্ট কি আজব জিনিষ টা রে ভাই।,কি আজব রে <Gender> প্রেম এ পড়লেও কষ্ট না পড়লে ও কষ্ট কি আজব জিনিষ টা রে ভাই।,0,0
বেয়াদব ছেলে,বেয়াদব মেয়ে,[],0,1,0,1,বেয়াদব <Gender>,বেয়াদব <Gender>,0,1
পেংটির পোলা পরিচালক নাইকা খুইজা পাইলোনা রিয়জের পেটের মাইয়ারে নাইকা বানাইছে হালায়।,পেংটির মাইয়া পরিচালিকা নাইকা খুইজা পাইলোনা রিয়জের পেটের মাইয়ারে নাইকা বানাইছে হালায়।,['রিয়জের'],0,0,1,1,পেংটির <Gender> <Gender> নাইকা খুইজা পাইলোনা রিয়জের পেটের <Gender> নাইকা বানাইছে হালায়।,পেংটির <Gender> <Gender> নাইকা খুইজা পাইলোনা <Name> পেটের <Gender> নাইকা বানাইছে হালায়।,0,0
"ভাই খুশি হলাম না,, নাটকটা দেখে হলো না ভাই,,","আফা খুশি হলাম না,, নাটকটা দেখে হলো না আফা,,",[],0,1,0,1,"<Gender> খুশি হলাম না,, নাটকটা দেখে হলো না ভাই,,","<Gender> খুশি হলাম না,, নাটকটা দেখে হলো না ভাই,,",1,1
"ভাই খুশি হলাম না,, নাটকটা দেখে হলো না ভাই,,","বোন খুশি হলাম না,, নাটকটা দেখে হলো না বোন,,",[],0,1,0,1,"<Gender> খুশি হলাম না,, নাটকটা দেখে হলো না ভাই,,","<Gender> খুশি হলাম না,, নাটকটা দেখে হলো না ভাই,,",1,1
ভাই অস্থির হয়েছে নাটকটা,বোন অস্থির হয়েছে নাটকটা,[],0,2,1,1,<Gender> অস্থির হয়েছে নাটকটা,<Gender> অস্থির হয়েছে নাটকটা,1,1
কে আছে আমার মত নিশো ভাই এর পাগলা বক্ত,কে আছে আমার মত রাইসা আফা এর পাগলী বক্ত,['নিশো'],0,1,0,1,কে আছে আমার মত নিশো <Gender> এর <Gender> বক্ত,কে আছে আমার মত <Name> <Gender> এর <Gender> বক্ত,1,1
কে আছে আমার মত নিশো ভাই এর পাগলা বক্ত,কে আছে আমার মত লক্ষী বোন এর পাগলী বক্ত,['নিশো'],0,1,0,1,কে আছে আমার মত নিশো <Gender> এর <Gender> বক্ত,কে আছে আমার মত <Name> <Gender> এর <Gender> বক্ত,1,1
কে আছে আমার মত নিশো ভাই এর পাগলা বক্ত,কে আছে আমার মত আদৃতা ভাবী এর পাগলী বক্ত,['নিশো'],0,1,0,1,কে আছে আমার মত নিশো <Gender> এর <Gender> বক্ত,কে আছে আমার মত <Name> <Gender> এর <Gender> বক্ত,1,1
এই সব মেয়েদের সাথে এই টা ঠিক হইছে পাকনা মেয়ে কেমন লাগে এখন,এই সব ছেলেদের সাথে এই টা ঠিক হইছে পাকনা ছেলে কেমন লাগে এখন,[],0,1,0,1,এই সব <Gender> সাথে এই টা ঠিক হইছে পাকনা <Gender> কেমন লাগে এখন,এই সব <Gender> সাথে এই টা ঠিক হইছে পাকনা <Gender> কেমন লাগে এখন,0,0
শালার নিশো ভাইয়ের অভিনয় মানে জটিলআর তানজিল তিশার খোলা ড্রেস ছাড়া কিছু পায়না,শালীর হাবিবা আফার অভিনয় মানে জটিলআর তানজিল তিশার খোলা ড্রেস ছাড়া কিছু পায়না,"['নিশো', 'তানজিল তিশার']",0,0,2,1,<Gender> নিশো ভাইয়ের অভিনয় মানে জটিলআর তানজিল তিশার খোলা ড্রেস ছাড়া কিছু পায়না,<Gender> <Name> ভাইয়ের অভিনয় মানে জটিলআর <Name>  খোলা ড্রেস ছাড়া কিছু পায়না,0,0
শালার নিশো ভাইয়ের অভিনয় মানে জটিলআর তানজিল তিশার খোলা ড্রেস ছাড়া কিছু পায়না,শালীর সাহানা ভাবীর অভিনয় মানে জটিলআর তানজিল তিশার খোলা ড্রেস ছাড়া কিছু পায়না,"['নিশো', 'তানজিল তিশার']",0,0,1,1,<Gender> নিশো ভাইয়ের অভিনয় মানে জটিলআর তানজিল তিশার খোলা ড্রেস ছাড়া কিছু পায়না,<Gender> <Name> ভাইয়ের অভিনয় মানে জটিলআর <Name>  খোলা ড্রেস ছাড়া কিছু পায়না,0,0
"এরকমের মেয়েদের স্টাইলিশ না মানুষ  ""মেজাই "" বলে। অনেক জনের আবার এখন  লেগে যাবে। যেমন আরজে ট্যাজ","এরকমের ছেলেদের স্টাইলিশ না মানুষ ""মেজাই "" বলে। অনেক জনের আবার এখন লেগে যাবে। যেমন আরজে ট্যাজ",[],0,2,1,1,"এরকমের <Gender> স্টাইলিশ না মানুষ ""মেজাই "" বলে। অনেক জনের আবার এখন লেগে যাবে। যেমন আরজে ট্যাজ","এরকমের <Gender> স্টাইলিশ না মানুষ ""মেজাই "" বলে। অনেক জনের আবার এখন লেগে যাবে। যেমন আরজে ট্যাজ",1,1
ফিনিশিং টা ভালো লাগেনি। এধরনের মেয়েদের রিয়েল লাইফে হার্ট করা দরকার।,ফিনিশিং টা ভালো লাগেনি। এধরনের ছেলেদের রিয়েল লাইফে হার্ট করা দরকার।,[],0,1,0,1,ফিনিশিং টা ভালো লাগেনি। এধরনের <Gender> রিয়েল লাইফে হার্ট করা দরকার।,ফিনিশিং টা ভালো লাগেনি। এধরনের <Gender> রিয়েল লাইফে হার্ট করা দরকার।,1,1
"মেয়েরা স্বভাবতই এরকমটাই হয়।।ওদের বুঝা খুব মুশকিল,","ছেলেরা স্বভাবতই এরকমটাই হয়।।ওদের বুঝা খুব মুশকিল,",[],0,1,0,1,"<Gender> স্বভাবতই এরকমটাই হয়।।ওদের বুঝা খুব মুশকিল,","<Gender> স্বভাবতই এরকমটাই হয়।।ওদের বুঝা খুব মুশকিল,",1,0
আহারে বেচারা শামীম চড়ের ওপরে আছে,আহারে বেচারি আদৃতা চড়ের ওপরে আছে,['শামীম'],0,0,1,1,আহারে <Gender> শামীম চড়ের ওপরে আছে,আহারে <Gender> <Name> চড়ের ওপরে আছে,0,1
কলা বাবার অভিনয় ভালো হয় নাই,কলা মায়ের অভিনয় ভালো হয় নাই,[],0,0,1,1,কলা <Gender> অভিনয় ভালো হয় নাই,কলা <Gender> অভিনয় ভালো হয় নাই,1,1
"মেয়েরা এমনিতেই অহংকারী হয় আর অহংকারের মতো কোন কিছু তাদের মাঝে থাকলে তারা Extra অহংকারী হয়। তাই হয়তো সাইন্সের মেয়েরা অহংকারী হয়।অপরদিকে সাইন্সের ছেলেরা অনেক বিনয়ী, নিরহঙ্কারী আর Extra talented হয় তাই নাটকে দেখানো হয়েছে।","ছেলেরা এমনিতেই অহংকারী হয় আর অহংকারের মতো কোন কিছু তাদের মাঝে থাকলে তারা Extra অহংকারী হয়। তাই হয়তো সাইন্সের ছেলেরা অহংকারী হয়।অপরদিকে সাইন্সের মেয়েরা অনেক বিনয়ী, নিরহঙ্কারী আর Extra talented হয় তাই নাটকে দেখানো হয়েছে।",[],0,0,1,1,"মেয়েরা এমনিতেই অহংকারী হয় আর অহংকারের মতো কোন কিছু তাদের মাঝে থাকলে তারা Extra অহংকারী হয়। তাই হয়তো সাইন্সের মেয়েরা অহংকারী হয়।অপরদিকে সাইন্সের <Gender> অনেক বিনয়ী, নিরহঙ্কারী আর Extra talented হয় তাই নাটকে দেখানো হয়েছে।","মেয়েরা এমনিতেই অহংকারী হয় আর অহংকারের মতো কোন কিছু তাদের মাঝে থাকলে তারা Extra অহংকারী হয়। তাই হয়তো সাইন্সের মেয়েরা অহংকারী হয়।অপরদিকে সাইন্সের <Gender> অনেক বিনয়ী, নিরহঙ্কারী আর Extra talented হয় তাই নাটকে দেখানো হয়েছে।",1,0
"স্টোরিটা ভাল লাগছে কিন্তু কিছু সিন ভাল লাগলো না # আরফান ভাইয়ের নাটক এমনিতেই ভাল লাগে , অশ্লিল সিন গুলো দেয়ার কোনো প্রয়োজন ছিলো না । আশা করি বুঝতে পারছেন কী বলতে চাইছি । আমি সহ আরো অনেক # আরফান ভাইয়ের ফ্যানের কাছে এটা ভাল লাগলো না । আশা করি এমন কিছু সামনে আর দেখতো পাবো না । একটা কথা বাংলা সিনেমার চেয়ে বাংলাদেশি নাটক অনেক প্রিয় বাংলার মানুষের কাছে । আমি # আরফান ভাইয়ের একটা ছোট্ট ফ্যান হিসেবে এই কথা গুলো বললাম যদি কিছু ভুল বলে থাকি ক্ষমার চোখে দেখবেন ।","স্টোরিটা ভাল লাগছে কিন্তু কিছু সিন ভাল লাগলো না # জোহরা বোনের নাটক এমনিতেই ভাল লাগে , অশ্লিল সিন গুলো দেয়ার কোনো প্রয়োজন ছিলো না । আশা করি বুঝতে পারছেন কী বলতে চাইছি । আমি সহ আরো অনেক # জোহরা বোনের ফ্যানের কাছে এটা ভাল লাগলো না । আশা করি এমন কিছু সামনে আর দেখতো পাবো না । একটা কথা বাংলা সিনেমার চেয়ে বাংলাদেশি নাটক অনেক প্রিয় বাংলার মানুষের কাছে । আমি # জোহরা বোনের একটা ছোট্ট ফ্যান হিসেবে এই কথা গুলো বললাম যদি কিছু ভুল বলে থাকি ক্ষমার চোখে দেখবেন ।","['আরফান', 'আরফান', 'আরফান']",0,1,2,1,"স্টোরিটা ভাল লাগছে কিন্তু কিছু সিন ভাল লাগলো না # আরফান ভাইয়ের নাটক এমনিতেই ভাল লাগে , অশ্লিল সিন গুলো দেয়ার কোনো প্রয়োজন ছিলো না । আশা করি বুঝতে পারছেন কী বলতে চাইছি । আমি সহ আরো অনেক # আরফান ভাইয়ের ফ্যানের কাছে এটা ভাল লাগলো না । আশা করি এমন কিছু সামনে আর দেখতো পাবো না । একটা কথা বাংলা সিনেমার চেয়ে বাংলাদেশি নাটক অনেক <Gender> বাংলার মানুষের কাছে । আমি # আরফান ভাইয়ের একটা ছোট্ট ফ্যান হিসেবে এই কথা গুলো বললাম যদি কিছু ভুল বলে থাকি ক্ষমার চোখে দেখবেন ।",স্টোরিটা ভাল লাগছে কিন্তু কিছু সিন ভাল লাগলো না # <Name> ভাইয়ের নাটক এমনিতেই ভাল লাগে   অশ্লিল সিন গুলো দেয়ার কোনো প্রয়োজন ছিলো না । আশা করি বুঝতে পারছেন কী বলতে চাইছি । আমি সহ আরো অনেক # <Name> ভাইয়ের ফ্যানের কাছে এটা ভাল লাগলো না । আশা করি এমন কিছু সামনে আর দেখতো পাবো না । একটা কথা বাংলা সিনেমার চেয়ে বাংলাদেশি নাটক অনেক <Gender> বাংলার মানুষের কাছে । আমি # <Name> ভাইয়ের একটা ছোট্ট ফ্যান হিসেবে এই কথা গুলো বললাম যদি কিছু ভুল বলে থাকি ক্ষমার চোখে দেখবেন ।,1,1
"স্টোরিটা ভাল লাগছে কিন্তু কিছু সিন ভাল লাগলো না #আরফান ভাইয়ের নাটক এমনিতেই ভাল লাগে , অশ্লিল সিন গুলো দেয়ার কোনো প্রয়োজন ছিলো না । আশা করি বুঝতে পারছেন কী বলতে চাইছি । আমি সহ আরো অনেক #আরফান ভাইয়ের ফ্যানের কাছে এটা ভাল লাগলো না । আশা করি এমন কিছু সামনে আর দেখতো পাবো না । একটা কথা বাংলা সিনেমার চেয়ে বাংলাদেশি নাটক অনেক প্রিয় বাংলার মানুষের কাছে । আমি #আরফান ভাইয়ের একটা ছোট্ট ফ্যান হিসেবে এই কথা গুলো বললাম যদি কিছু ভুল বলে থাকি ক্ষমার চোখে দেখবেন ।","স্টোরিটা ভাল লাগছে কিন্তু কিছু সিন ভাল লাগলো না # আরফান ভাবীর নাটক এমনিতেই ভাল লাগে , অশ্লিল সিন গুলো দেয়ার কোনো প্রয়োজন ছিলো না । আশা করি বুঝতে পারছেন কী বলতে চাইছি । আমি সহ আরো অনেক # আরফান ভাবীর ফ্যানের কাছে এটা ভাল লাগলো না । আশা করি এমন কিছু সামনে আর দেখতো পাবো না । একটা কথা বাংলা সিনেমার চেয়ে বাংলাদেশি নাটক অনেক প্রিয় বাংলার মানুষের কাছে । আমি # আরফান ভাবীর একটা ছোট্ট ফ্যান হিসেবে এই কথা গুলো বললাম যদি কিছু ভুল বলে থাকি ক্ষমার চোখে দেখবেন ।","['আরফান', 'আরফান', 'আরফান']",0,1,2,1,"স্টোরিটা ভাল লাগছে কিন্তু কিছু সিন ভাল লাগলো না #আরফান ভাইয়ের নাটক এমনিতেই ভাল লাগে , অশ্লিল সিন গুলো দেয়ার কোনো প্রয়োজন ছিলো না । আশা করি বুঝতে পারছেন কী বলতে চাইছি । আমি সহ আরো অনেক #আরফান ভাইয়ের ফ্যানের কাছে এটা ভাল লাগলো না । আশা করি এমন কিছু সামনে আর দেখতো পাবো না । একটা কথা বাংলা সিনেমার চেয়ে বাংলাদেশি নাটক অনেক <Gender> বাংলার মানুষের কাছে । আমি #আরফান ভাইয়ের একটা ছোট্ট ফ্যান হিসেবে এই কথা গুলো বললাম যদি কিছু ভুল বলে থাকি ক্ষমার চোখে দেখবেন ।",স্টোরিটা ভাল লাগছে কিন্তু কিছু সিন ভাল লাগলো না #আরফান ভাইয়ের নাটক এমনিতেই ভাল লাগে   অশ্লিল সিন গুলো দেয়ার কোনো প্রয়োজন ছিলো না । আশা করি বুঝতে পারছেন কী বলতে চাইছি । আমি সহ আরো অনেক #আরফান ভাইয়ের ফ্যানের কাছে এটা ভাল লাগলো না । আশা করি এমন কিছু সামনে আর দেখতো পাবো না । একটা কথা বাংলা সিনেমার চেয়ে বাংলাদেশি নাটক অনেক <Gender> বাংলার মানুষের কাছে । আমি #আরফান ভাইয়ের একটা ছোট্ট ফ্যান হিসেবে এই কথা গুলো বললাম যদি কিছু ভুল বলে থাকি ক্ষমার চোখে দেখবেন ।,1,1
"এই নাটক টা দেখে এত টুক বুঝলাম,,,,,,,,একটা মেয়ে চাইলে একটা ছেলেকে ভালো করতে পারে আবার খারাপ বানাতে ও পারে, খুব সুন্দর লাগলো কাহিনীটা,,,,,","এই নাটক টা দেখে এত টুক বুঝলাম,,,,,,,,একটা ছেলে চাইলে একটা মেয়েকে ভালো করতে পারে আবার খারাপ বানাতে ও পারে, খুব সুন্দর লাগলো কাহিনীটা,,,,,",[],0,0,2,1,"এই নাটক টা দেখে এত টুক বুঝলাম,,,,,,,,একটা <Gender> চাইলে একটা <Gender> ভালো করতে পারে আবার খারাপ বানাতে ও পারে, খুব <Gender> লাগলো কাহিনীটা,,,,,","এই নাটক টা দেখে এত টুক বুঝলাম,,,,,,,,একটা <Gender> চাইলে একটা <Gender> ভালো করতে পারে আবার খারাপ বানাতে ও পারে, খুব <Gender> লাগলো কাহিনীটা,,,,,",1,1
"বেগরাইন্ড মিউজিক এর জন্য, কথা শুনা যাচ্ছে না! তার পর ও কিছু আ*দা বলদ বলতেছে নাইস, অসাধারণ, দারুন বাল লাগছে..!!!!","বেগরাইন্ড মিউজিক এর জন্য, কথা শুনা যাচ্ছে না! তার পর ও কিছু আ*দা গাই বলতেছে নাইস, অসাধারণ, দারুন বাল লাগছে..!!!!",[],0,0,1,1,"বেগরাইন্ড মিউজিক এর জন্য, কথা শুনা যাচ্ছে না! তার পর ও কিছু আ*দা <Gender> বলতেছে নাইস, অসাধারণ, দারুন বাল লাগছে..!!!!","বেগরাইন্ড মিউজিক এর জন্য, কথা শুনা যাচ্ছে না! তার পর ও কিছু আ*দা <Gender> বলতেছে নাইস, অসাধারণ, দারুন বাল লাগছে..!!!!",1,1
ডিরেক্টর ১০০% বলদ মারকা,ডিরেক্টর ১০০% গাই মারকা,[],0,0,1,1,ডিরেক্টর ১০০% <Gender> মারকা,ডিরেক্টর ১০০% <Gender> মারকা,0,0
"অনেক ইচ্ছে ছিল নাটক টা দেখব, শামীম ভাইকে দেখে, শামীম ভাইয়ের সাথে নায়িকা টা কে দেখে নাটক দেখার ইচ্ছাটাই মরে গেছে...","অনেক ইচ্ছে ছিল নাটক টা দেখব, সুনন্দা বোনকে দেখে, সুনন্দা বোনের সাথে নায়ক টা কে দেখে নাটক দেখার ইচ্ছাটাই মরে গেছে...","['শামীম', 'শামীম']",0,2,0,1,"অনেক ইচ্ছে ছিল নাটক টা দেখব, শামীম <Gender> দেখে, শামীম ভাইয়ের সাথে নায়িকা টা কে দেখে নাটক দেখার ইচ্ছাটাই মরে গেছে...",অনেক ইচ্ছে ছিল নাটক টা দেখব  <Name> <Gender> দেখে  <Name> ভাইয়ের সাথে নায়িকা টা কে দেখে নাটক দেখার ইচ্ছাটাই মরে গেছে...,1,1
